,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
565,United States of America,Namibia,1983,2,"(18.49041, -22.95764)",
566,United States of America,Poland,1983,5868,"(19.145136, 51.919438)",
567,United States of America,Romania,1983,4003,"(24.96676, 45.943161)",
568,United States of America,Russian Federation,1983,1409,,
569,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1983,5,,
570,United States of America,South Africa,1983,9,"(22.937506, -30.559482)",
571,United States of America,Syrian Arab Rep.,1983,9,,
572,United States of America,Various/unknown,1983,1,,
573,United States of America,Viet Nam,1983,25487,,
574,Australia,Various/unknown,1984,14769,,"(133.775136, -25.274398)"
575,Belgium,Various/unknown,1984,83,,"(4.469936, 50.503887)"
579,Canada,Czech Rep.,1984,754,,"(-106.346771, 56.130366)"
584,Canada,Iran (Islamic Rep. of),1984,611,,"(-106.346771, 56.130366)"
586,Canada,Lao People's Dem. Rep.,1984,871,,"(-106.346771, 56.130366)"
590,Canada,Russian Federation,1984,23,,"(-106.346771, 56.130366)"
591,Canada,Serbia and Kosovo: S/RES/1244 (1999),1984,2,,"(-106.346771, 56.130366)"
595,Canada,Various/unknown,1984,901,,"(-106.346771, 56.130366)"
596,Canada,Viet Nam,1984,3475,,"(-106.346771, 56.130366)"
597,Denmark,Various/unknown,1984,277,,"(9.501785, 56.26392)"
598,Finland,Various/unknown,1984,61,,"(25.748151, 61.92411)"
599,Netherlands,Various/unknown,1984,477,,"(5.291266, 52.132633)"
601,New Zealand,Lao People's Dem. Rep.,1984,63,,"(174.885971, -40.900557)"
602,New Zealand,Viet Nam,1984,68,,"(174.885971, -40.900557)"
603,Norway,Various/unknown,1984,668,,"(8.468946, 60.472024)"
607,Sweden,Czech Rep.,1984,44,,"(18.643501, 60.128161)"
611,Sweden,Iran (Islamic Rep. of),1984,127,,"(18.643501, 60.128161)"
617,Sweden,Various/unknown,1984,52,,"(18.643501, 60.128161)"
618,Sweden,Viet Nam,1984,76,,"(18.643501, 60.128161)"
619,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1984,803,,
620,United States of America,Afghanistan,1984,2128,"(67.709953, 33.93911)",
621,United States of America,Albania,1984,46,"(20.168331, 41.153332)",
622,United States of America,Angola,1984,81,"(17.873887, -11.202692)",
623,United States of America,Bulgaria,1984,127,"(25.48583, 42.733883)",
624,United States of America,Cambodia,1984,19851,"(104.990963, 12.565679)",
625,United States of America,Cuba,1984,67,"(-77.781167, 21.521757)",
626,United States of America,Czech Rep.,1984,853,,
627,United States of America,Dem. Rep. of the Congo,1984,36,,
628,United States of America,El Salvador,1984,93,"(-88.89653, 13.794185)",
629,United States of America,Ethiopia,1984,2533,"(40.489673, 9.145)",
630,United States of America,Hungary,1984,549,"(19.503304, 47.162494)",
631,United States of America,Iran (Islamic Rep. of),1984,2917,,
632,United States of America,Iraq,1984,195,"(43.679291, 33.223191)",
633,United States of America,Lao People's Dem. Rep.,1984,7291,,
