,Country / territory of asylum/residence,Origin,Year,Value,coor_from,coor_to
829,New Zealand,Lao People's Dem. Rep.,1987,174,,"(174.885971, -40.900557)"
830,New Zealand,Viet Nam,1987,164,,"(174.885971, -40.900557)"
831,Norway,Various/unknown,1987,803,,"(8.468946, 60.472024)"
836,Sweden,Iran (Islamic Rep. of),1987,761,,"(18.643501, 60.128161)"
841,Sweden,Stateless,1987,3,,"(18.643501, 60.128161)"
843,Sweden,Various/unknown,1987,15,,"(18.643501, 60.128161)"
844,Sweden,Viet Nam,1987,232,,"(18.643501, 60.128161)"
845,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1987,435,,
846,United States of America,Afghanistan,1987,3220,"(67.709953, 33.93911)",
847,United States of America,Albania,1987,48,"(20.168331, 41.153332)",
848,United States of America,Angola,1987,40,"(17.873887, -11.202692)",
849,United States of America,Bulgaria,1987,114,"(25.48583, 42.733883)",
850,United States of America,Cambodia,1987,1539,"(104.990963, 12.565679)",
851,United States of America,Cuba,1987,273,"(-77.781167, 21.521757)",
852,United States of America,Czech Rep.,1987,1072,,
853,United States of America,Dem. Rep. of the Congo,1987,7,,
854,United States of America,El Salvador,1987,6,"(-88.89653, 13.794185)",
855,United States of America,Ethiopia,1987,1831,"(40.489673, 9.145)",
856,United States of America,Hungary,1987,669,"(19.503304, 47.162494)",
857,United States of America,Iran (Islamic Rep. of),1987,6681,,
858,United States of America,Iraq,1987,202,"(43.679291, 33.223191)",
859,United States of America,Lao People's Dem. Rep.,1987,15564,,
860,United States of America,Libya,1987,2,"(17.228331, 26.3351)",
861,United States of America,Mozambique,1987,7,"(35.529562, -18.665695)",
862,United States of America,Namibia,1987,3,"(18.49041, -22.95764)",
863,United States of America,Nicaragua,1987,36,"(-85.207229, 12.865416)",
864,United States of America,Poland,1987,3626,"(19.145136, 51.919438)",
865,United States of America,Romania,1987,3075,"(24.96676, 45.943161)",
866,United States of America,Russian Federation,1987,3694,,
867,United States of America,Rwanda,1987,1,"(29.873888, -1.940278)",
868,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1987,2,,
869,United States of America,Somalia,1987,1,"(46.199616, 5.152149)",
870,United States of America,South Africa,1987,70,"(22.937506, -30.559482)",
871,United States of America,Uganda,1987,24,"(32.290275, 1.373333)",
872,United States of America,Various/unknown,1987,12,,
873,United States of America,Viet Nam,1987,23009,,
874,Australia,Various/unknown,1988,11076,,"(133.775136, -25.274398)"
878,Canada,Czech Rep.,1988,724,,"(-106.346771, 56.130366)"
882,Canada,Iran (Islamic Rep. of),1988,1911,,"(-106.346771, 56.130366)"
884,Canada,Lao People's Dem. Rep.,1988,831,,"(-106.346771, 56.130366)"
888,Canada,Russian Federation,1988,351,,"(-106.346771, 56.130366)"
889,Canada,Serbia and Kosovo: S/RES/1244 (1999),1988,5,,"(-106.346771, 56.130366)"
893,Canada,Various/unknown,1988,1021,,"(-106.346771, 56.130366)"
894,Canada,Viet Nam,1988,4751,,"(-106.346771, 56.130366)"
895,Denmark,Various/unknown,1988,537,,"(9.501785, 56.26392)"
896,Finland,Various/unknown,1988,400,,"(25.748151, 61.92411)"
897,Japan,Various/unknown,1988,193,,"(138.252924, 36.204824)"
898,Netherlands,Various/unknown,1988,700,,"(5.291266, 52.132633)"
900,New Zealand,Lao People's Dem. Rep.,1988,155,,"(174.885971, -40.900557)"
901,New Zealand,Viet Nam,1988,157,,"(174.885971, -40.900557)"
902,Norway,Various/unknown,1988,774,,"(8.468946, 60.472024)"
908,Sweden,Czech Rep.,1988,1,,"(18.643501, 60.128161)"
912,Sweden,Iran (Islamic Rep. of),1988,753,,"(18.643501, 60.128161)"
918,Sweden,Stateless,1988,1,,"(18.643501, 60.128161)"
919,Sweden,Syrian Arab Rep.,1988,3,,"(18.643501, 60.128161)"
920,Sweden,Viet Nam,1988,94,,"(18.643501, 60.128161)"
921,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1988,715,,
922,United States of America,Afghanistan,1988,2211,"(67.709953, 33.93911)",
923,United States of America,Albania,1988,72,"(20.168331, 41.153332)",
924,United States of America,Angola,1988,13,"(17.873887, -11.202692)",
925,United States of America,Bulgaria,1988,140,"(25.48583, 42.733883)",
926,United States of America,Burundi,1988,1,"(29.918886, -3.373056)",
927,United States of America,Cambodia,1988,2805,"(104.990963, 12.565679)",
928,United States of America,Cuba,1988,3006,"(-77.781167, 21.521757)",
929,United States of America,Czech Rep.,1988,672,,
930,United States of America,Dem. Rep. of the Congo,1988,10,,
931,United States of America,El Salvador,1988,15,"(-88.89653, 13.794185)",
932,United States of America,Ethiopia,1988,1456,"(40.489673, 9.145)",
933,United States of America,Hungary,1988,784,"(19.503304, 47.162494)",
934,United States of America,Iran (Islamic Rep. of),1988,6167,,
935,United States of America,Iraq,1988,37,"(43.679291, 33.223191)",
936,United States of America,Lao People's Dem. Rep.,1988,14556,,
937,United States of America,Mozambique,1988,13,"(35.529562, -18.665695)",
938,United States of America,Namibia,1988,3,"(18.49041, -22.95764)",
939,United States of America,Nicaragua,1988,209,"(-85.207229, 12.865416)",
940,United States of America,Poland,1988,3345,"(19.145136, 51.919438)",
941,United States of America,Romania,1988,2801,"(24.96676, 45.943161)",
942,United States of America,Russian Federation,1988,20421,,
943,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1988,4,,
944,United States of America,Somalia,1988,4,"(46.199616, 5.152149)",
945,United States of America,South Africa,1988,42,"(22.937506, -30.559482)",
946,United States of America,Uganda,1988,31,"(32.290275, 1.373333)",
947,United States of America,Various/unknown,1988,15,,
948,United States of America,Viet Nam,1988,17654,,
949,Australia,Various/unknown,1989,10887,,"(133.775136, -25.274398)"
950,Belgium,Various/unknown,1989,251,,"(4.469936, 50.503887)"
954,Canada,Czech Rep.,1989,835,,"(-106.346771, 56.130366)"
958,Canada,Iran (Islamic Rep. of),1989,1854,,"(-106.346771, 56.130366)"
960,Canada,Lao People's Dem. Rep.,1989,652,,"(-106.346771, 56.130366)"
964,Canada,Russian Federation,1989,984,,"(-106.346771, 56.130366)"
965,Canada,Serbia and Kosovo: S/RES/1244 (1999),1989,10,,"(-106.346771, 56.130366)"
969,Canada,Various/unknown,1989,1221,,"(-106.346771, 56.130366)"
970,Canada,Viet Nam,1989,6446,,"(-106.346771, 56.130366)"
971,Denmark,Various/unknown,1989,797,,"(9.501785, 56.26392)"
972,Finland,Various/unknown,1989,400,,"(25.748151, 61.92411)"
973,Japan,Various/unknown,1989,194,,"(138.252924, 36.204824)"
975,Netherlands,Iran (Islamic Rep. of),1989,260,,"(5.291266, 52.132633)"
976,Netherlands,Various/unknown,1989,5,,"(5.291266, 52.132633)"
977,Netherlands,Viet Nam,1989,262,,"(5.291266, 52.132633)"
979,New Zealand,Czech Rep.,1989,3,,"(174.885971, -40.900557)"
981,New Zealand,Iran (Islamic Rep. of),1989,1,,"(174.885971, -40.900557)"
983,New Zealand,Lao People's Dem. Rep.,1989,118,,"(174.885971, -40.900557)"
986,New Zealand,Viet Nam,1989,200,,"(174.885971, -40.900557)"
987,Norway,Various/unknown,1989,1075,,"(8.468946, 60.472024)"
988,Sweden,Various/unknown,1989,1559,,"(18.643501, 60.128161)"
989,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1989,723,,
990,United States of America,Afghanistan,1989,1716,"(67.709953, 33.93911)",
991,United States of America,Albania,1989,47,"(20.168331, 41.153332)",
992,United States of America,Angola,1989,18,"(17.873887, -11.202692)",
993,United States of America,Bulgaria,1989,111,"(25.48583, 42.733883)",
994,United States of America,Cambodia,1989,1916,"(104.990963, 12.565679)",
995,United States of America,China,1989,5,"(104.195397, 35.86166)",
996,United States of America,Cuba,1989,3783,"(-77.781167, 21.521757)",
997,United States of America,Czech Rep.,1989,925,,
998,United States of America,Dem. Rep. of the Congo,1989,18,,
999,United States of America,El Salvador,1989,11,"(-88.89653, 13.794185)",
1000,United States of America,Ethiopia,1989,1767,"(40.489673, 9.145)",
1001,United States of America,Hungary,1989,1075,"(19.503304, 47.162494)",
1002,United States of America,Iran (Islamic Rep. of),1989,5185,,
1003,United States of America,Iraq,1989,114,"(43.679291, 33.223191)",
1004,United States of America,Lao People's Dem. Rep.,1989,12432,,
1005,United States of America,Libya,1989,1,"(17.228331, 26.3351)",
1006,United States of America,Mozambique,1989,4,"(35.529562, -18.665695)",
1007,United States of America,Nicaragua,1989,323,"(-85.207229, 12.865416)",
1008,United States of America,Poland,1989,3607,"(19.145136, 51.919438)",
1009,United States of America,Romania,1989,3182,"(24.96676, 45.943161)",
1010,United States of America,Russian Federation,1989,39553,,
1011,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1989,1,,
1012,United States of America,South Africa,1989,20,"(22.937506, -30.559482)",
1013,United States of America,Sudan,1989,20,"(30.217636, 12.862807)",
1014,United States of America,Syrian Arab Rep.,1989,1,,
1015,United States of America,Uganda,1989,40,"(32.290275, 1.373333)",
1016,United States of America,Various/unknown,1989,36,,
1017,United States of America,Viet Nam,1989,31327,,
1018,Australia,Various/unknown,1990,11948,,"(133.775136, -25.274398)"
1029,Canada,Bolivia (Plurinational State of),1990,6,,"(-106.346771, 56.130366)"
1037,Canada,Central African Rep.,1990,1,,"(-106.346771, 56.130366)"
1041,Canada,"China, Hong Kong SAR",1990,62,,"(-106.346771, 56.130366)"
1044,Canada,Congo,1990,5,,"(-106.346771, 56.130366)"
1048,Canada,Czech Rep.,1990,1142,,"(-106.346771, 56.130366)"
1049,Canada,Dem. People's Rep. of Korea,1990,1,,"(-106.346771, 56.130366)"
1050,Canada,Dem. Rep. of the Congo,1990,41,,"(-106.346771, 56.130366)"
1071,Canada,Iran (Islamic Rep. of),1990,1549,,"(-106.346771, 56.130366)"
1080,Canada,Lao People's Dem. Rep.,1990,572,,"(-106.346771, 56.130366)"
1093,Canada,Myanmar,1990,13,,"(-106.346771, 56.130366)"
1106,Canada,Russian Federation,1990,1190,,"(-106.346771, 56.130366)"
1112,Canada,Serbia and Kosovo: S/RES/1244 (1999),1990,15,,"(-106.346771, 56.130366)"
1123,Canada,Syrian Arab Rep.,1990,49,,"(-106.346771, 56.130366)"
1131,Canada,United Kingdom of Great Britain and Northern Ireland,1990,50,,"(-106.346771, 56.130366)"
1132,Canada,United Rep. of Tanzania,1990,2,,"(-106.346771, 56.130366)"
1133,Canada,United States of America,1990,127,,"(-106.346771, 56.130366)"
1135,Canada,Various/unknown,1990,278,,"(-106.346771, 56.130366)"
1136,Canada,Venezuela (Bolivarian Republic of),1990,1,,"(-106.346771, 56.130366)"
1137,Canada,Viet Nam,1990,5393,,"(-106.346771, 56.130366)"
1141,Denmark,Various/unknown,1990,747,,"(9.501785, 56.26392)"
1142,Finland,Various/unknown,1990,639,,"(25.748151, 61.92411)"
1143,Iceland,Various/unknown,1990,30,,"(-19.020835, 64.963051)"
1144,Japan,Various/unknown,1990,321,,"(138.252924, 36.204824)"
1145,Netherlands,Iran (Islamic Rep. of),1990,212,,"(5.291266, 52.132633)"
1147,Netherlands,Various/unknown,1990,21,,"(5.291266, 52.132633)"
1148,Netherlands,Viet Nam,1990,426,,"(5.291266, 52.132633)"
1151,New Zealand,Czech Rep.,1990,16,,"(174.885971, -40.900557)"
1153,New Zealand,Iran (Islamic Rep. of),1990,100,,"(174.885971, -40.900557)"
1155,New Zealand,Lao People's Dem. Rep.,1990,105,,"(174.885971, -40.900557)"
1157,New Zealand,Viet Nam,1990,247,,"(174.885971, -40.900557)"
1158,Norway,Various/unknown,1990,974,,"(8.468946, 60.472024)"
1163,Sweden,Dem. Rep. of the Congo,1990,6,,"(18.643501, 60.128161)"
1167,Sweden,Iran (Islamic Rep. of),1990,166,,"(18.643501, 60.128161)"
1170,Sweden,Lao People's Dem. Rep.,1990,2,,"(18.643501, 60.128161)"
1174,Sweden,United Kingdom of Great Britain and Northern Ireland,1990,1,,"(18.643501, 60.128161)"
1175,Sweden,Viet Nam,1990,939,,"(18.643501, 60.128161)"
1176,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1990,650,,
1177,United States of America,Afghanistan,1990,1594,"(67.709953, 33.93911)",
1178,United States of America,Albania,1990,98,"(20.168331, 41.153332)",
1179,United States of America,Angola,1990,59,"(17.873887, -11.202692)",
1180,United States of America,Argentina,1990,2,"(-63.616672, -38.416097)",
1181,United States of America,Bulgaria,1990,332,"(25.48583, 42.733883)",
1182,United States of America,Chad,1990,1,"(18.732207, 15.454166)",
1183,United States of America,China,1990,52,"(104.195397, 35.86166)",
1184,United States of America,Cuba,1990,4753,"(-77.781167, 21.521757)",
1185,United States of America,Czech Rep.,1990,345,,
1186,United States of America,Dem. Rep. of the Congo,1990,79,,
1187,United States of America,El Salvador,1990,22,"(-88.89653, 13.794185)",
1188,United States of America,Ethiopia,1990,3229,"(40.489673, 9.145)",
1189,United States of America,Hungary,1990,274,"(19.503304, 47.162494)",
1190,United States of America,Iran (Islamic Rep. of),1990,3329,,
1191,United States of America,Iraq,1990,67,"(43.679291, 33.223191)",
1192,United States of America,Lao People's Dem. Rep.,1990,8771,,
1193,United States of America,Libya,1990,1,"(17.228331, 26.3351)",
1194,United States of America,Mozambique,1990,3,"(35.529562, -18.665695)",
1195,United States of America,Myanmar,1990,3,,
1196,United States of America,Nicaragua,1990,532,"(-85.207229, 12.865416)",
1197,United States of America,Poland,1990,1491,"(19.145136, 51.919438)",
1198,United States of America,Romania,1990,3650,"(24.96676, 45.943161)",
1199,United States of America,Russian Federation,1990,50716,,
1200,United States of America,Serbia and Kosovo: S/RES/1244 (1999),1990,6,,
1201,United States of America,South Africa,1990,34,"(22.937506, -30.559482)",
1202,United States of America,Sudan,1990,15,"(30.217636, 12.862807)",
1203,United States of America,Uganda,1990,27,"(32.290275, 1.373333)",
1204,United States of America,Viet Nam,1990,42791,,
1205,Australia,Various/unknown,1991,7745,,"(133.775136, -25.274398)"
1218,Canada,Bolivia (Plurinational State of),1991,7,,"(-106.346771, 56.130366)"
1227,Canada,Central African Rep.,1991,1,,"(-106.346771, 56.130366)"
1230,Canada,"China, Hong Kong SAR",1991,106,,"(-106.346771, 56.130366)"
1232,Canada,Congo,1991,3,,"(-106.346771, 56.130366)"
1236,Canada,Czech Rep.,1991,254,,"(-106.346771, 56.130366)"
1237,Canada,Dem. Rep. of the Congo,1991,41,,"(-106.346771, 56.130366)"
1258,Canada,Iran (Islamic Rep. of),1991,1083,,"(-106.346771, 56.130366)"
1266,Canada,Lao People's Dem. Rep.,1991,969,,"(-106.346771, 56.130366)"
1277,Canada,Myanmar,1991,9,,"(-106.346771, 56.130366)"
1291,Canada,Russian Federation,1991,640,,"(-106.346771, 56.130366)"
1293,Canada,Sao Tome and Principe,1991,1,,"(-106.346771, 56.130366)"
1296,Canada,Serbia and Kosovo: S/RES/1244 (1999),1991,11,,"(-106.346771, 56.130366)"
1307,Canada,Syrian Arab Rep.,1991,16,,"(-106.346771, 56.130366)"
1315,Canada,United Kingdom of Great Britain and Northern Ireland,1991,35,,"(-106.346771, 56.130366)"
1316,Canada,United Rep. of Tanzania,1991,7,,"(-106.346771, 56.130366)"
1317,Canada,United States of America,1991,105,,"(-106.346771, 56.130366)"
1319,Canada,Various/unknown,1991,185,,"(-106.346771, 56.130366)"
1320,Canada,Venezuela (Bolivarian Republic of),1991,2,,"(-106.346771, 56.130366)"
1321,Canada,Viet Nam,1991,3137,,"(-106.346771, 56.130366)"
1329,Denmark,Iran (Islamic Rep. of),1991,142,,"(9.501785, 56.26392)"
1333,Denmark,Myanmar,1991,1,,"(9.501785, 56.26392)"
1334,Denmark,Palestinian,1991,4,,"(9.501785, 56.26392)"
1337,Denmark,Stateless,1991,11,,"(9.501785, 56.26392)"
1340,Denmark,Viet Nam,1991,606,,"(9.501785, 56.26392)"
1341,Finland,Various/unknown,1991,459,,"(25.748151, 61.92411)"
1342,Iceland,Various/unknown,1991,46,,"(-19.020835, 64.963051)"
1343,Japan,Various/unknown,1991,370,,"(138.252924, 36.204824)"
1344,Netherlands,Iran (Islamic Rep. of),1991,25,,"(5.291266, 52.132633)"
1345,Netherlands,Various/unknown,1991,115,,"(5.291266, 52.132633)"
1346,Netherlands,Viet Nam,1991,449,,"(5.291266, 52.132633)"
1348,New Zealand,Czech Rep.,1991,28,,"(174.885971, -40.900557)"
1351,New Zealand,Iran (Islamic Rep. of),1991,40,,"(174.885971, -40.900557)"
1353,New Zealand,Lao People's Dem. Rep.,1991,20,,"(174.885971, -40.900557)"
1355,New Zealand,Viet Nam,1991,245,,"(174.885971, -40.900557)"
1356,Norway,Various/unknown,1991,1142,,"(8.468946, 60.472024)"
1363,Sweden,Dem. Rep. of the Congo,1991,6,,"(18.643501, 60.128161)"
1367,Sweden,Iran (Islamic Rep. of),1991,320,,"(18.643501, 60.128161)"
1371,Sweden,Lao People's Dem. Rep.,1991,1,,"(18.643501, 60.128161)"
1373,Sweden,Myanmar,1991,5,,"(18.643501, 60.128161)"
1378,Sweden,Stateless,1991,39,,"(18.643501, 60.128161)"
1379,Sweden,Syrian Arab Rep.,1991,1,,"(18.643501, 60.128161)"
1382,Sweden,United States of America,1991,1,,"(18.643501, 60.128161)"
1383,Sweden,Various/unknown,1991,1,,"(18.643501, 60.128161)"
1384,Sweden,Viet Nam,1991,656,,"(18.643501, 60.128161)"
1385,United Kingdom of Great Britain and Northern Ireland,Various/unknown,1991,490,,
1386,United States of America,Afghanistan,1991,1480,"(67.709953, 33.93911)",
1387,United States of America,Albania,1991,1363,"(20.168331, 41.153332)",
1388,United States of America,Angola,1991,21,"(17.873887, -11.202692)",
1389,United States of America,Bulgaria,1991,585,"(25.48583, 42.733883)",
1390,United States of America,China,1991,4,"(104.195397, 35.86166)",
1391,United States of America,Cuba,1991,3933,"(-77.781167, 21.521757)",
1392,United States of America,Czech Rep.,1991,158,,
1393,United States of America,Dem. Rep. of the Congo,1991,73,,
1394,United States of America,El Salvador,1991,6,"(-88.89653, 13.794185)",
1395,United States of America,Ethiopia,1991,3948,"(40.489673, 9.145)",
1396,United States of America,Hungary,1991,7,"(19.503304, 47.162494)",
1397,United States of America,Iran (Islamic Rep. of),1991,2692,,
1398,United States of America,Iraq,1991,842,"(43.679291, 33.223191)",
1399,United States of America,Lao People's Dem. Rep.,1991,9250,,
1400,United States of America,Liberia,1991,1,"(-9.429499, 6.428055)",
1401,United States of America,Libya,1991,344,"(17.228331, 26.3351)",
1402,United States of America,Mozambique,1991,12,"(35.529562, -18.665695)",
1403,United States of America,Myanmar,1991,14,,
1404,United States of America,Nicaragua,1991,87,"(-85.207229, 12.865416)",
1405,United States of America,Poland,1991,290,"(19.145136, 51.919438)",
1406,United States of America,Romania,1991,4452,"(24.96676, 45.943161)",
1407,United States of America,Russian Federation,1991,38661,,
1408,United States of America,Rwanda,1991,2,"(29.873888, -1.940278)",
1409,United States of America,Somalia,1991,192,"(46.199616, 5.152149)",
1410,United States of America,South Africa,1991,19,"(22.937506, -30.559482)",
1411,United States of America,Sudan,1991,24,"(30.217636, 12.862807)",
1412,United States of America,Syrian Arab Rep.,1991,1,,
1413,United States of America,Uganda,1991,125,"(32.290275, 1.373333)",
1414,United States of America,Various/unknown,1991,7,,
1415,United States of America,Viet Nam,1991,44218,,
1426,Australia,Dem. Rep. of the Congo,1992,8,,"(133.775136, -25.274398)"
1434,Australia,Iran (Islamic Rep. of),1992,162,,"(133.775136, -25.274398)"
1439,Australia,Lao People's Dem. Rep.,1992,53,,"(133.775136, -25.274398)"
1448,Australia,Rep. of Moldova,1992,37,,"(133.775136, -25.274398)"
1450,Australia,Russian Federation,1992,1080,,"(133.775136, -25.274398)"
1452,Australia,Sao Tome and Principe,1992,4,,"(133.775136, -25.274398)"
